date,headline,sentiment_code,sentiment_label
2025-03-27,Asian Stocks Decline as Trump Tariffs Sap Risk: Markets Wrap,0,Négatif
2025-03-20,"NHL launches a front office iPad app to modernize roster, contract and salary cap info for teams",2,Positif
2025-03-18,Saputo Inc. at the CIBC Retail and Consumer Conference,2,Positif
2025-03-17,KNAPP Releases Best of Breed and Best of Suite Software at ProMat 2025,2,Positif
2025-03-12,"NTT DATA becomes a Global Managed Service Provider in the SAP PartnerEdge, Run Program Track",1,Neutre
