date,headline,sentiment_code,sentiment_label
2025-03-28,Candiac Toyota wins the 2024 President’s Award,2,Positif
2025-02-25,"Toyota reshuffles its board, adding auditors and outsiders",2,Positif
2025-02-18,Toyota Is Supporting LG Battery Plant With $1.5 Billion Order,1,Neutre
2025-02-05,"Japan’s Toyota announces EV and battery push in China and U.S., as its quarterly profit surges",1,Neutre
2025-02-05,Toyota Raises Annual Profit Guidance Despite Drop in Quarter,2,Positif
