date,headline,sentiment_code,sentiment_label
2025-03-18,Alphabet to buy cybersecurity startup Wiz for $32 billion,2,Positif
2025-03-07,Harvest Announces HHIS Portfolio Additions,2,Positif
2025-03-03,Seems Like Old Times: Read Our New-Look Markets A.M. Newsletter,2,Positif
2025-02-27,Alphabet’s Google cuts employees in cloud division,0,Négatif
2025-02-05,Google owner Alphabet drops promise over 'harmful' AI uses,0,Négatif
